basename,F_1,P,R
NAF_0386,0.7102,0.8109,0.6317
HUB_0505,0.7115,0.553,0.9976
EPFL_190,0.7121,0.8379,0.6191
Bohisto_HS_99_2_object_197459,0.7123,0.8,0.6419
StAM_00000183-1,0.7126,0.5835,0.9149
EPFL_770,0.7128,0.8313,0.6239
EPFL_157,0.7151,0.5843,0.9212
EPFL_356,0.7165,0.792,0.6541
EPFL_466,0.717,0.5801,0.9386
NAF_0929,0.717,0.5713,0.9623
EPFL_1100,0.7171,0.7271,0.7073
StAM_00000003-4,0.7185,0.571,0.9687
EPFL_14,0.7228,0.6784,0.7734
ABP_T_Aigen_am_Inn_001_0425,0.724,0.6275,0.8555
unibas_IMG_MAX_800951,0.7246,0.5749,0.9799
EPFL_658,0.7247,0.7199,0.7295
ABP_T_Otterskirchen_002_0504,0.729,0.7232,0.735
StAM_00000238,0.7293,0.6667,0.8049
NAF_0130,0.7297,0.8064,0.6663
EPFL_106-1,0.7299,0.7967,0.6735
Bohisto_HS46b_83_object_27593,0.7299,0.5894,0.9585
NAF_0194,0.7303,0.7057,0.7568
EPFL_294,0.732,0.822,0.6597
ABP_RT_Freyung_006-04_0004,0.7326,0.6075,0.9224
StAM_00000028-2,0.7342,0.5996,0.9467
ABP_S_Otterskirchen_014_0100,0.735,0.6354,0.8716
unibas_IMG_MAX_845459,0.7351,0.5866,0.9844
UCL_021_114_002,0.7353,0.5908,0.9734
NAF_0290,0.7365,0.8205,0.668
BHIC_5117-093-0021,0.7371,0.6185,0.912
UCL_070_288_001,0.738,0.6836,0.8017
BHIC_5117-084-0001,0.7389,0.6321,0.8891
NAF_0314,0.7396,0.8746,0.6407
EPFL_252,0.7404,0.8307,0.6678
EPFL_210,0.7414,0.7703,0.7147
UCL_004_491_001,0.7435,0.6319,0.9029
UCL_088_231_002,0.7456,0.6367,0.8995
StAM_00000118,0.7461,0.7283,0.7647
ABP_S_Freyung_020_0059,0.7469,0.6198,0.9395
UCL_028_095_001,0.7471,0.6235,0.9318
Bohisto_HS19b_123_object_19415,0.7485,0.7751,0.7236
ABP_T_Freyung_005-01_0184,0.7508,0.6282,0.9328
UCL_067_164_001,0.7519,0.6667,0.8621
ABP_S_Freyung_020_0122,0.752,0.6573,0.8786
UCL_099_018_003,0.7523,0.7079,0.8025
StAM_00000010-1,0.7524,0.6162,0.9659
unibas_IMG_MAX_971325,0.7535,0.6096,0.9863
EPFL_465,0.7536,0.6321,0.9328
BHIC_5117-084-0027,0.754,0.6343,0.9295
ABP_S_Aigen_am_Inn_009-05_0333,0.756,0.6603,0.8841
UCL_107_096_001,0.7572,0.6979,0.8274
NAF_0114,0.7593,0.7443,0.7749
NAF_0186,0.7603,0.7679,0.7529
UCL_006_057_001,0.7608,0.6665,0.8862
EPFL_292,0.7608,0.6348,0.9492
StAM_00000104,0.7623,0.6661,0.8909
ABP_M_Aigen_am_Inn_007_0273,0.7638,0.653,0.9199
UCL_072_147_003,0.7644,0.6324,0.9661
